70334081;28;No Encontrado
67734766;22;No Encontrado
24044547;23;No Encontrado
87784079;22;No Encontrado
14243680;21;No Encontrado
84152827;23;No Encontrado
36639489;22;No Encontrado
21376372;21;No Encontrado
91300293;23;No Encontrado
70373671;23;No Encontrado
21894086;20;No Encontrado
14774674;22;No Encontrado
37110881;22;ENCONTRADO
24313537;22;No Encontrado
59767302;21;ENCONTRADO
71531691;23;ENCONTRADO
65493659;25;No Encontrado
02941148;25;No Encontrado
88325629;23;No Encontrado
96724497;21;ENCONTRADO
96101907;22;No Encontrado
44575587;22;No Encontrado
42938533;23;No Encontrado
84288896;20;ENCONTRADO
52791849;21;ENCONTRADO
96512247;22;No Encontrado
08363023;21;ENCONTRADO
11050395;22;No Encontrado
01211740;21;No Encontrado
22491589;21;ENCONTRADO
76075826;22;ENCONTRADO
77537791;21;ENCONTRADO
41742992;22;No Encontrado
64603176;22;No Encontrado
32583096;23;No Encontrado
02270110;21;No Encontrado
90000100;21;ENCONTRADO
23007747;24;No Encontrado
98892877;23;No Encontrado
62887011;22;No Encontrado
20041425;22;No Encontrado
44433755;21;No Encontrado
11406316;21;No Encontrado
14484059;21;ENCONTRADO
73621328;21;ENCONTRADO
69277154;22;No Encontrado
37482486;20;No Encontrado
94998285;22;No Encontrado
52923784;20;ENCONTRADO
61037558;21;No Encontrado
38607794;22;ENCONTRADO
41534713;20;No Encontrado
54896489;20;No Encontrado
93691811;21;No Encontrado
54554529;24;No Encontrado
96046739;21;ENCONTRADO
09001355;21;No Encontrado
27515182;21;No Encontrado
57325337;21;ENCONTRADO
54409958;21;ENCONTRADO
80298633;22;No Encontrado
62995603;26;No Encontrado
68640475;22;No Encontrado
75305054;22;No Encontrado
37757110;20;No Encontrado
88846731;22;No Encontrado
75028843;22;No Encontrado
04697460;21;ENCONTRADO
83380383;24;No Encontrado
56047954;21;No Encontrado
23593737;22;No Encontrado
76125542;22;No Encontrado
83668143;21;No Encontrado
20770535;22;No Encontrado
57435841;21;No Encontrado
43770222;22;No Encontrado
94037549;21;No Encontrado
90596472;22;No Encontrado
64676373;21;No Encontrado
03592352;22;No Encontrado
05806189;22;No Encontrado
34028499;21;No Encontrado
93602639;21;No Encontrado
98657281;21;ENCONTRADO
35680151;22;ENCONTRADO
98792004;23;No Encontrado
23018259;22;ENCONTRADO
83153666;22;ENCONTRADO
74657386;21;No Encontrado
97625452;22;No Encontrado
35287247;22;No Encontrado
43194207;21;ENCONTRADO
71930533;21;No Encontrado
75861310;22;No Encontrado
36165721;21;No Encontrado
81729551;22;ENCONTRADO
68339966;20;No Encontrado
15768619;21;ENCONTRADO
32579182;21;No Encontrado
12361969;21;ENCONTRADO
57413248;22;No Encontrado
07091123;20;ENCONTRADO
83952782;20;No Encontrado
74474376;21;No Encontrado
58327634;21;ENCONTRADO
57834543;22;No Encontrado
73705280;20;No Encontrado
66092206;21;No Encontrado
18354001;22;ENCONTRADO
89087971;21;No Encontrado
01583095;21;No Encontrado
09888139;27;No Encontrado
22227927;25;No Encontrado
41916168;31;No Encontrado
93314537;22;ENCONTRADO
69613655;21;No Encontrado
84438168;22;No Encontrado
53349009;23;No Encontrado
44133835;20;No Encontrado
19168101;21;No Encontrado
37731244;23;No Encontrado
04713384;22;No Encontrado
45568858;25;No Encontrado
29283700;24;No Encontrado
80949483;23;No Encontrado
84069438;24;No Encontrado
12665508;22;No Encontrado
61913262;22;ENCONTRADO
42646082;22;No Encontrado
85177074;22;No Encontrado
85163868;20;ENCONTRADO
76839890;22;No Encontrado
95153301;26;No Encontrado
98338935;22;ENCONTRADO
08830539;22;No Encontrado
54939790;26;ENCONTRADO
77253590;24;No Encontrado
42829090;23;ENCONTRADO
69691079;22;No Encontrado
84091581;21;No Encontrado
76475723;21;ENCONTRADO
82857313;22;No Encontrado
27546597;21;No Encontrado
72649937;23;No Encontrado
59412451;22;No Encontrado
72851783;23;No Encontrado
62767517;25;ENCONTRADO
72694285;31;No Encontrado
69216903;26;ENCONTRADO
72802418;32;No Encontrado
48806385;33;No Encontrado
01854079;31;No Encontrado
94683394;31;No Encontrado
45364152;33;ENCONTRADO
95439271;34;No Encontrado
20544001;32;No Encontrado
76254597;29;No Encontrado
89842929;33;No Encontrado
50002714;27;No Encontrado
11331888;22;No Encontrado
29206389;23;No Encontrado
61975723;23;No Encontrado
79375899;23;ENCONTRADO
16712143;23;No Encontrado
95021091;24;No Encontrado
26252656;23;No Encontrado
53417634;21;No Encontrado
79985231;21;No Encontrado
47709620;21;No Encontrado
80604548;23;No Encontrado
14227580;23;No Encontrado
31947222;21;ENCONTRADO
98786336;23;No Encontrado
54159244;19;No Encontrado
03027585;21;ENCONTRADO
84768636;22;No Encontrado
75336205;23;ENCONTRADO
64821739;24;ENCONTRADO
74657582;24;No Encontrado
33307254;24;No Encontrado
60831354;24;ENCONTRADO
43082066;23;ENCONTRADO
78351732;24;No Encontrado
49615488;23;No Encontrado
05667372;23;No Encontrado
55809926;22;No Encontrado
40760181;21;ENCONTRADO
70737650;23;No Encontrado
71022623;25;ENCONTRADO
77703154;25;No Encontrado
65146429;24;No Encontrado
61425562;21;No Encontrado
41252461;21;ENCONTRADO
15211598;22;No Encontrado
14286824;21;No Encontrado
38332365;22;No Encontrado
32835388;22;No Encontrado
18923017;20;No Encontrado
08365925;22;No Encontrado
