41734779;6870403;No Encontrado
16281914;8022320;No Encontrado
82318889;6986373;No Encontrado
50194784;7485347;No Encontrado
86896193;7621964;No Encontrado
56455326;8489302;No Encontrado
44342184;7121177;No Encontrado
68462632;7176840;No Encontrado
38504335;7115020;No Encontrado
93794684;110076;ENCONTRADO
31239568;7561404;No Encontrado
41318868;62293;ENCONTRADO
65613901;7560254;No Encontrado
29704200;198444;ENCONTRADO
41774789;351976;ENCONTRADO
52807270;422237;ENCONTRADO
56907171;8231882;No Encontrado
43256416;935830;ENCONTRADO
81835121;9016119;No Encontrado
16057016;7106005;No Encontrado
19096055;7842256;No Encontrado
59262933;651931;ENCONTRADO
86863041;7396725;No Encontrado
16567423;174487;ENCONTRADO
97319720;7330154;No Encontrado
87446696;9320602;No Encontrado
45789949;7864487;No Encontrado
13461788;9639807;No Encontrado
06002593;517707;ENCONTRADO
04553504;10166622;No Encontrado
76588272;8201285;No Encontrado
58990569;7732439;No Encontrado
92353632;7797491;No Encontrado
64740038;363488;ENCONTRADO
41995861;414980;ENCONTRADO
14367327;572677;ENCONTRADO
41487111;6722381;No Encontrado
40688753;7065;ENCONTRADO
62061059;110974;ENCONTRADO
90965417;6948213;No Encontrado
93107040;7198080;No Encontrado
02720619;424491;ENCONTRADO
02158541;6792358;No Encontrado
59220044;6937307;No Encontrado
55376497;6866570;No Encontrado
31519809;7875298;No Encontrado
45546153;834710;ENCONTRADO
74462780;6884341;No Encontrado
68718757;7414820;No Encontrado
31955683;7146980;No Encontrado
50490618;257457;ENCONTRADO
66282908;435710;ENCONTRADO
61172962;7259334;No Encontrado
08476935;726892;ENCONTRADO
17958409;7784427;No Encontrado
55266229;7149362;No Encontrado
60606404;6944968;No Encontrado
62114559;6533298;No Encontrado
71477314;448598;ENCONTRADO
56698832;37494;ENCONTRADO
68055442;256184;ENCONTRADO
30737246;7987353;No Encontrado
17862075;6740504;No Encontrado
28497962;545010;ENCONTRADO
17478146;7676921;No Encontrado
47450522;7185065;No Encontrado
90095616;7218970;No Encontrado
73587945;720729;ENCONTRADO
41740295;7761803;No Encontrado
59676535;88943;ENCONTRADO
80188319;308219;ENCONTRADO
14062837;9525072;No Encontrado
05601409;9325715;No Encontrado
90313359;136272;ENCONTRADO
28065812;11283096;No Encontrado
95358744;608085;ENCONTRADO
33035482;7070066;No Encontrado
56813406;678689;ENCONTRADO
23522609;230614;ENCONTRADO
07928184;8187941;No Encontrado
79459598;8881760;No Encontrado
41040478;8649771;No Encontrado
98995782;657000;ENCONTRADO
12669316;7626496;No Encontrado
45562306;447493;ENCONTRADO
25543303;7908041;No Encontrado
90870333;7217375;No Encontrado
92213484;695853;ENCONTRADO
51957365;7998953;No Encontrado
03697669;358071;ENCONTRADO
84669642;442481;ENCONTRADO
91328664;570201;ENCONTRADO
53849688;7227430;No Encontrado
98794707;7242189;No Encontrado
85847598;346228;ENCONTRADO
93215972;7196265;No Encontrado
19927797;9506610;No Encontrado
27930538;84975;ENCONTRADO
37215568;674350;ENCONTRADO
78957458;8119881;No Encontrado
66165369;721800;ENCONTRADO
27830757;7862177;No Encontrado
97544809;7613804;No Encontrado
03071528;8236671;No Encontrado
71217744;580115;ENCONTRADO
15873916;7223261;No Encontrado
34209505;152227;ENCONTRADO
55171217;7880685;No Encontrado
55717624;7322550;No Encontrado
19545709;8093199;No Encontrado
37261801;547099;ENCONTRADO
57874529;7918214;No Encontrado
57935439;9994162;No Encontrado
08262379;7161263;No Encontrado
80027378;10170487;No Encontrado
60503495;12115253;No Encontrado
24980561;12035259;No Encontrado
16156921;281789;ENCONTRADO
49715885;8838186;No Encontrado
97009455;7549983;No Encontrado
62197196;8368978;No Encontrado
21250304;481265;ENCONTRADO
70366043;8140004;No Encontrado
86320584;582381;ENCONTRADO
84948776;8916405;No Encontrado
62098216;8176777;No Encontrado
94709541;9352113;No Encontrado
97731969;8769685;No Encontrado
35197753;8040095;No Encontrado
64885358;9376138;No Encontrado
46574722;7490310;No Encontrado
93004909;8470213;No Encontrado
63991282;7688328;No Encontrado
22259739;7407302;No Encontrado
79533440;8191352;No Encontrado
93872049;7979613;No Encontrado
01552026;9462477;No Encontrado
81715845;9212375;No Encontrado
45164047;7694626;No Encontrado
99447081;386327;ENCONTRADO
06942630;11452480;No Encontrado
88193288;7678135;No Encontrado
10428675;9916690;No Encontrado
83530009;11581281;No Encontrado
42396367;8253230;No Encontrado
81584345;10223436;No Encontrado
36572967;10592037;No Encontrado
53008663;8579287;No Encontrado
50214683;8620563;No Encontrado
43309018;9342981;No Encontrado
88787571;8211444;No Encontrado
57512410;8619246;No Encontrado
43943848;695947;ENCONTRADO
71195375;572350;ENCONTRADO
16659695;397983;ENCONTRADO
03781196;7060558;No Encontrado
73488124;7952839;No Encontrado
01127724;7261720;No Encontrado
13718720;7742338;No Encontrado
07103295;7162931;No Encontrado
65729138;525096;ENCONTRADO
29805945;7966911;No Encontrado
13246783;7442398;No Encontrado
34058113;506636;ENCONTRADO
16587960;7826172;No Encontrado
31037834;7509455;No Encontrado
53459336;7038988;No Encontrado
48059312;7656227;No Encontrado
25499167;6839623;No Encontrado
54685197;7767939;No Encontrado
54245377;6785476;No Encontrado
46798094;9026170;No Encontrado
70028193;327432;ENCONTRADO
47323552;7120867;No Encontrado
97425955;9812070;No Encontrado
49051175;7605024;No Encontrado
76147140;9820643;No Encontrado
08950297;10975640;No Encontrado
57350550;567665;ENCONTRADO
22144984;8782976;No Encontrado
95453466;233625;ENCONTRADO
76977884;12615657;No Encontrado
56353531;7973003;No Encontrado
43365464;8660282;No Encontrado
91689228;8176981;No Encontrado
14417688;1189669;ENCONTRADO
15715235;9501612;No Encontrado
66050409;11020708;No Encontrado
19553288;9230215;No Encontrado
95162325;10526371;No Encontrado
17497500;8197064;No Encontrado
98958621;1608360;ENCONTRADO
46119059;9048212;No Encontrado
45154799;10339112;No Encontrado
30966364;576087;ENCONTRADO
52136952;7372884;No Encontrado
25852742;244071;ENCONTRADO
17613288;11213816;No Encontrado
76559073;7781231;No Encontrado
43845279;9869929;No Encontrado
16229352;9043129;No Encontrado
83732477;9155080;No Encontrado
70535934;23546;ENCONTRADO
33177700;134790;ENCONTRADO
89121284;9281518;No Encontrado
52117174;8439140;No Encontrado
40965936;11393883;No Encontrado
47473173;1175303;ENCONTRADO
84645831;8824988;No Encontrado
46005924;9567418;No Encontrado
19349552;12538340;No Encontrado
93708216;80576;ENCONTRADO
52319951;11059461;No Encontrado
79333622;10839040;No Encontrado
81420822;295066;ENCONTRADO
84301510;7688437;No Encontrado
71910649;9163469;No Encontrado
94195841;342718;ENCONTRADO
67201974;624772;ENCONTRADO
01268305;552792;ENCONTRADO
97137413;6716901;No Encontrado
00572529;269886;ENCONTRADO
00339488;7853061;No Encontrado
06771462;8072523;No Encontrado
50242705;498516;ENCONTRADO
20073968;7918611;No Encontrado
93352751;9182703;No Encontrado
64605671;7365744;No Encontrado
77631061;9108553;No Encontrado
18261591;9282904;No Encontrado
43929310;247164;ENCONTRADO
61729991;7513313;No Encontrado
12724201;7670753;No Encontrado
45779003;7120872;No Encontrado
77367034;7973318;No Encontrado
31364685;7203118;No Encontrado
92400088;609851;ENCONTRADO
69774663;7180825;No Encontrado
01788871;7310311;No Encontrado
30182380;7972979;No Encontrado
27285844;7689875;No Encontrado
81810355;6991620;No Encontrado
81951239;7108926;No Encontrado
36217711;733067;ENCONTRADO
28300978;10337914;No Encontrado
89935213;6959932;No Encontrado
68841271;443175;ENCONTRADO
71414269;9741569;No Encontrado
36335439;9735921;No Encontrado
99679611;8288562;No Encontrado
70973224;7513506;No Encontrado
32735094;8022824;No Encontrado
65514688;7593338;No Encontrado
90248768;519156;ENCONTRADO
70056677;7573443;No Encontrado
37356763;572992;ENCONTRADO
38762061;7448255;No Encontrado
63035672;8411453;No Encontrado
09564142;39647;ENCONTRADO
71373927;229357;ENCONTRADO
43466087;6969726;No Encontrado
23765097;446113;ENCONTRADO
34792920;7639542;No Encontrado
07990853;7804872;No Encontrado
67159606;7476556;No Encontrado
19310886;7070999;No Encontrado
50536288;7700683;No Encontrado
73497095;7976582;No Encontrado
89351377;8143960;No Encontrado
82748383;8389500;No Encontrado
16570926;176711;ENCONTRADO
39426821;448915;ENCONTRADO
94793298;7375425;No Encontrado
31534303;9223954;No Encontrado
93669053;422038;ENCONTRADO
97768364;8982023;No Encontrado
07153466;11454048;No Encontrado
64916435;1669776;ENCONTRADO
49460014;18209558;No Encontrado
40337682;48693;ENCONTRADO
25022613;12616488;No Encontrado
68278805;13895526;No Encontrado
69113567;7675711;No Encontrado
05873705;7858929;No Encontrado
97364232;14027602;No Encontrado
09534623;353719;ENCONTRADO
66529444;8514901;No Encontrado
87345951;9455693;No Encontrado
29951636;7433352;ENCONTRADO
95229958;10410689;No Encontrado
39864183;8719320;No Encontrado
68674834;10161479;No Encontrado
64662491;10984768;No Encontrado
86685740;7807247;No Encontrado
29733438;851968;ENCONTRADO
76453317;10075592;No Encontrado
42246386;665846;ENCONTRADO
43761947;143218;ENCONTRADO
08117803;8601942;No Encontrado
43256488;10212259;No Encontrado
95660372;10596896;No Encontrado
53160678;7947976;No Encontrado
48994009;12803678;No Encontrado
22839111;10907934;No Encontrado
19576552;231544;ENCONTRADO
26178518;13296899;No Encontrado
95314950;895146;ENCONTRADO
77674352;11804100;No Encontrado
25850219;11371975;No Encontrado
32133243;10907459;No Encontrado
28523352;12370533;No Encontrado
29349703;13905284;No Encontrado
61052352;599429;ENCONTRADO
72438828;9069594;No Encontrado
20597399;7631496;No Encontrado
69240255;8326160;No Encontrado
29427993;146805;ENCONTRADO
87013454;139537;ENCONTRADO
83079423;7932017;No Encontrado
53773491;8684711;No Encontrado
78069901;8186852;No Encontrado
65466334;10545365;No Encontrado
09400766;8669981;No Encontrado
18583233;564371;ENCONTRADO
73620844;11224895;No Encontrado
03080412;9511347;No Encontrado
15072318;808865;ENCONTRADO
76917441;8051385;No Encontrado
21696748;9738957;No Encontrado
43537933;10957584;No Encontrado
54053955;77154;ENCONTRADO
09045069;7529435;No Encontrado
63929282;473171;ENCONTRADO
49886611;148935;ENCONTRADO
54237668;8873529;No Encontrado
20742326;15251449;No Encontrado
86408952;8881068;No Encontrado
98344463;422985;ENCONTRADO
49996710;5720;ENCONTRADO
37296644;8813180;No Encontrado
96005550;10531012;No Encontrado
50706058;8348806;No Encontrado
98548943;10686718;No Encontrado
68255829;312319;ENCONTRADO
07950789;10291884;No Encontrado
03541376;11546937;No Encontrado
04860059;528127;ENCONTRADO
98487506;8635264;No Encontrado
35844519;13900154;No Encontrado
20218364;7609901;No Encontrado
94610100;7692900;No Encontrado
82793332;301120;ENCONTRADO
34235963;13589293;No Encontrado
84806718;11551887;No Encontrado
77828925;12876453;No Encontrado
45576791;9929750;No Encontrado
94114779;12020592;No Encontrado
99062945;607057;ENCONTRADO
68617836;7872359;No Encontrado
28841516;11057673;No Encontrado
41309198;10328046;No Encontrado
62985193;1099508;ENCONTRADO
79669070;14376791;No Encontrado
08302533;12125559;No Encontrado
42076049;137417;ENCONTRADO
12998785;8724180;No Encontrado
79850826;9040127;No Encontrado
83919539;793224;ENCONTRADO
81771235;9632113;No Encontrado
02722533;8809665;No Encontrado
86693880;7769879;No Encontrado
66372693;240757;ENCONTRADO
40388217;8408774;No Encontrado
58733880;8718634;No Encontrado
56839321;726225;ENCONTRADO
61260883;539171;ENCONTRADO
98751844;8468792;No Encontrado
60808247;8573234;No Encontrado
88646528;753111;ENCONTRADO
30913893;102758;ENCONTRADO
73969775;7717579;No Encontrado
00902514;10835420;No Encontrado
64592281;287509;ENCONTRADO
09282309;39785;ENCONTRADO
35480488;10186110;No Encontrado
11481369;10264364;No Encontrado
09652989;9509396;No Encontrado
85346056;8585851;No Encontrado
53216620;7978965;No Encontrado
37157314;8092569;No Encontrado
21956050;8893584;No Encontrado
96618797;538021;ENCONTRADO
81343407;8562597;No Encontrado
89252889;10236966;No Encontrado
16123614;1007113;ENCONTRADO
79116387;1052819;ENCONTRADO
79701168;14262913;No Encontrado
26316435;8747272;No Encontrado
31687542;8219050;No Encontrado
13614726;13931174;No Encontrado
28134360;11458171;No Encontrado
92560961;9288429;No Encontrado
25721308;10639866;No Encontrado
10261580;299897;ENCONTRADO
66199854;11817690;No Encontrado
89935096;10178900;No Encontrado
20380073;125074;ENCONTRADO
94488888;526841;ENCONTRADO
33508867;31176;ENCONTRADO
24749029;347833;ENCONTRADO
32987836;13133847;No Encontrado
56517191;15770765;No Encontrado
25208067;8915837;No Encontrado
21708431;309303;ENCONTRADO
96490413;11925200;No Encontrado
96937276;14895281;No Encontrado
25423225;26497243;No Encontrado
01542571;10836331;No Encontrado
35826229;16176337;No Encontrado
68455850;10254308;No Encontrado
40348109;9813552;No Encontrado
71276445;21599959;No Encontrado
56697211;11224578;No Encontrado
23134617;11266676;No Encontrado
56885109;9027081;No Encontrado
23432849;11647651;No Encontrado
07748328;890166;ENCONTRADO
13002578;9527998;ENCONTRADO
61550345;9823352;No Encontrado
27907344;12180524;No Encontrado
67314545;901528;ENCONTRADO
89700654;17920854;No Encontrado
22674759;10364969;No Encontrado
91179794;16374099;No Encontrado
70991602;619304;ENCONTRADO
19275382;9868638;No Encontrado
69965485;11181213;No Encontrado
48537505;17404241;No Encontrado
68212811;658469;ENCONTRADO
12581932;13624665;No Encontrado
24168685;493879;ENCONTRADO
84191073;758551;ENCONTRADO
27023406;12924606;No Encontrado
52334612;503840;ENCONTRADO
97472448;10499629;No Encontrado
49495257;11204179;No Encontrado
41134324;12489030;No Encontrado
10647719;10749445;No Encontrado
96783712;16873323;No Encontrado
31606428;12434834;No Encontrado
37749695;728828;ENCONTRADO
00966180;839124;ENCONTRADO
85795687;11295969;No Encontrado
76233375;41439;ENCONTRADO
91553701;15686385;No Encontrado
46613300;12650470;No Encontrado
15084431;23065996;No Encontrado
17438101;10231408;No Encontrado
35619661;8550100;No Encontrado
51782699;831918;ENCONTRADO
67406980;18281647;No Encontrado
36960414;13868830;No Encontrado
60420371;269381;ENCONTRADO
00770730;13121229;No Encontrado
93762424;10316998;No Encontrado
37774715;9282852;No Encontrado
04004731;650836;ENCONTRADO
20470432;500765;ENCONTRADO
14739534;352442;ENCONTRADO
26295972;10738081;No Encontrado
43305277;9150979;No Encontrado
75105036;16115288;No Encontrado
38639542;9268942;No Encontrado
52873503;8523570;No Encontrado
40086292;9465746;No Encontrado
57114394;11030719;No Encontrado
45802304;8816775;No Encontrado
83689425;54787;ENCONTRADO
21928082;8178523;No Encontrado
18135140;8092696;No Encontrado
83781839;629920;ENCONTRADO
26342414;9021437;No Encontrado
66857613;76847;ENCONTRADO
62644638;8769802;No Encontrado
42873565;689638;ENCONTRADO
76913919;8056208;No Encontrado
20096512;7947574;No Encontrado
41252602;8871639;No Encontrado
48689387;7822623;No Encontrado
31500796;8388956;No Encontrado
75704931;12265867;No Encontrado
21771474;9145718;No Encontrado
95734259;8481219;No Encontrado
67533033;10948088;No Encontrado
52607143;10972412;No Encontrado
33412550;9138522;No Encontrado
00165026;9377751;No Encontrado
79412760;9552647;No Encontrado
44443256;8315887;No Encontrado
08158629;8435738;No Encontrado
54052226;8066360;No Encontrado
02081498;10813168;No Encontrado
99234867;399597;ENCONTRADO
87691537;8553865;No Encontrado
19989438;8451782;No Encontrado
32585771;9723416;No Encontrado
48088350;9509276;No Encontrado
60248711;8243084;No Encontrado
65918024;423160;ENCONTRADO
77033087;8213217;No Encontrado
70110617;9298107;No Encontrado
72748541;552057;ENCONTRADO
26587416;8337441;No Encontrado
70561003;8286197;No Encontrado
55730903;234711;ENCONTRADO
49285181;8253246;No Encontrado
20876460;11864437;No Encontrado
13722885;12273546;No Encontrado
